"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10132045124,"","","","","","","","","","",""
10131387520,"","","","501 - 1000 mg","","","","","","",""
10127496364,"","","","","","","","","","",""
10232104389,"","","","","","","","","5 mg or less","",""
10230246660,"","","","501 - 1000 mg","","","","","","",""
10229567404,"","","","","","","","","","",""
10160356483,"","","","26 - 50 mg","","","","","","",""
10142625629,"","","","5 mg or less","","","","","","",""
10131629058,"","","","26 - 50 mg","","","","","","",""
10127331399,"","","","","","","","","","",""
10239531679,"","","","","","","","","","",""
10233218847,"","","","5 mg or less","","","","","","",""
10230933279,"","","","","","","","","","",""
10230598781,"","","","26 - 50 mg","","","","","","",""
10230474596,"","","","","","","","","","6-25 mg",""
10230393816,"","","","51 - 100 mg","","","","","","",""
10230255552,"","","","6-25 mg","","","","","","",""
10229536593,"","","","6-25 mg","","","","","","",""
10131197878,"","","","","","","","","","",""
10119017610,"","","","6-25 mg","","","","","","",""
10248414752,"","","","","","","","","","",""
10233315156,"","","","","","","","","","",""
10231291558,"","","","5 mg or less","","","","","","",""
10229301530,"","","","6-25 mg","","","","","","",""
10229291368,"","","","","","","","","","",""
10142762492,"","","","","","","","","","6-25 mg",""
10128208218,"","","","6-25 mg","","","","","","",""
10263390124,"","","","","","","","","","51 - 100 mg",""
10230119752,"","","","","","","","","","",""
10229692062,"","","","","","","","5 mg or less","","",""
10193457250,"","","","","","","","","","6-25 mg",""
10567487173,"","","","51 - 100 mg","","","","","","",""
10232720349,"","","","","","","","","","",""
10229403521,"","","","5 mg or less","","","","","","",""
10166567441,"","","","","","","","","","",""
10142947535,"","","","","","","","","","",""
10127451035,"","","","5 mg or less","","","","","","6-25 mg",""
10127357215,"","","","","","","","","","",""
10125705542,"","","","","","","","","","",""
10238111177,"","","","","","","","","","",""
10229940666,"","","","","","","","","","",""
10229447544,"","","","51 - 100 mg","","","","","","",""
10132169596,"","","","101 - 200 mg","","","","","","",""
10122896731,"","","","6-25 mg","","","","","","",""
10229963199,"","","","","","","","","","",""
10229340407,"","","","","","","","","","",""
10233531303,"","","","6-25 mg","","","","","","",""
10114212199,"","","","","","","","","","",""
